Timestamp,Market,Data Type,Value
1689249600.0,COMPOUND,Supplied rETH,0.0
1689249600.0,COMPOUND,Borrowed ETH,22989.2492573565
1689271200.0,COMPOUND,Supplied rETH,0.0
1689271200.0,COMPOUND,Borrowed ETH,22991.648169201853
1689292800.0,COMPOUND,Supplied rETH,0.0
1689292800.0,COMPOUND,Borrowed ETH,22998.16699116776
1689314400.0,COMPOUND,Supplied rETH,0.0
1689314400.0,COMPOUND,Borrowed ETH,22998.086054901123
1689336000.0,COMPOUND,Supplied rETH,0.0
1689336000.0,COMPOUND,Borrowed ETH,22998.605619398342
1689357600.0,COMPOUND,Supplied rETH,0.0
1689357600.0,COMPOUND,Borrowed ETH,23000.127494703665
1689379200.0,COMPOUND,Supplied rETH,0.0
1689379200.0,COMPOUND,Borrowed ETH,23000.648295831223
1689400800.0,COMPOUND,Supplied rETH,0.0
1689400800.0,COMPOUND,Borrowed ETH,23001.174587560883
1689422400.0,COMPOUND,Supplied rETH,0.0
1689422400.0,COMPOUND,Borrowed ETH,23002.07785712464
1689444000.0,COMPOUND,Supplied rETH,0.0
1689444000.0,COMPOUND,Borrowed ETH,23002.603049181507
1689465600.0,COMPOUND,Supplied rETH,0.0
1689465600.0,COMPOUND,Borrowed ETH,23003.12536676213
1689487200.0,COMPOUND,Supplied rETH,0.0
1689487200.0,COMPOUND,Borrowed ETH,23003.65561198656
1689508800.0,COMPOUND,Supplied rETH,0.0
1689508800.0,COMPOUND,Borrowed ETH,23004.174802678564
1689530400.0,COMPOUND,Supplied rETH,0.0
1689530400.0,COMPOUND,Borrowed ETH,23004.693143473
1689552000.0,COMPOUND,Supplied rETH,0.0
1689552000.0,COMPOUND,Borrowed ETH,24205.228031035007
1689573600.0,COMPOUND,Supplied rETH,0.0
1689573600.0,COMPOUND,Borrowed ETH,24205.794554075663
1689595200.0,COMPOUND,Supplied rETH,0.0
1689595200.0,COMPOUND,Borrowed ETH,24206.36013395921
1689616800.0,COMPOUND,Supplied rETH,0.0
1689616800.0,COMPOUND,Borrowed ETH,24206.92446733839
1689638400.0,COMPOUND,Supplied rETH,0.0
1689638400.0,COMPOUND,Borrowed ETH,24207.490740443995
1689660000.0,COMPOUND,Supplied rETH,0.0
1689660000.0,COMPOUND,Borrowed ETH,24208.0564523736
1689681600.0,COMPOUND,Supplied rETH,0.0
1689681600.0,COMPOUND,Borrowed ETH,24208.625733938086
1689703200.0,COMPOUND,Supplied rETH,0.0
1689703200.0,COMPOUND,Borrowed ETH,24209.19124854496
1689724800.0,COMPOUND,Supplied rETH,0.0
1689724800.0,COMPOUND,Borrowed ETH,24211.51029481672
1689746400.0,COMPOUND,Supplied rETH,0.0
1689746400.0,COMPOUND,Borrowed ETH,24212.07905351285
1689768000.0,COMPOUND,Supplied rETH,0.0
