Event Type,Transaction Hash,Address,Block Hash,Block Number,Reserve,User,Amount,On Behalf Of,Borrow Rate,Repayer,useAtokens,To,Target,Asset,Referral Code,Initiator,Premium
Withdraw,0x5f46f6ca95bec521834f82fd14b4b2e19c2892e4da19b65e01f99ef5f978f000,0x87870Bca3F3fD6335C3F4ce8392D69350B4fA4E2,0xe894522657b6fe7348a743128808975b703ff707f2ed67fa318ee1b783e9ce43,19279379,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x1aEcea38B8626EEB3748234343cff427268Dd487,10288756901844799214,,,,,0x1aEcea38B8626EEB3748234343cff427268Dd487,,,,,
Withdraw,0xae9ad39aab989e0b8d8fcfdf04ac747f628c9a12086e8fd000f40533bdc7b7f2,0x87870Bca3F3fD6335C3F4ce8392D69350B4fA4E2,0xf73fd3d37c186ac36044ab6696e69f5f29a7486ab06a1b5a5c41c917ddb9bfc7,19136814,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x1aEcea38B8626EEB3748234343cff427268Dd487,100000000000000000000000000,,,,,0x1aEcea38B8626EEB3748234343cff427268Dd487,,,,,
Withdraw,0xf6df98b464b7f0cb3e8f325c721036ddff4a28dafc1233abc97a75b1c443c945,0x87870Bca3F3fD6335C3F4ce8392D69350B4fA4E2,0xf73fd3d37c186ac36044ab6696e69f5f29a7486ab06a1b5a5c41c917ddb9bfc7,19136814,0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0,0x1aEcea38B8626EEB3748234343cff427268Dd487,502642490040127664619,,,,,0x1aEcea38B8626EEB3748234343cff427268Dd487,,,,,
Withdraw,0xf6df98b464b7f0cb3e8f325c721036ddff4a28dafc1233abc97a75b1c443c945,0x87870Bca3F3fD6335C3F4ce8392D69350B4fA4E2,0xf73fd3d37c186ac36044ab6696e69f5f29a7486ab06a1b5a5c41c917ddb9bfc7,19136814,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x1aEcea38B8626EEB3748234343cff427268Dd487,100000000000000000000000000,,,,,0x1aEcea38B8626EEB3748234343cff427268Dd487,,,,,
Withdraw,0xf6df98b464b7f0cb3e8f325c721036ddff4a28dafc1233abc97a75b1c443c945,0x87870Bca3F3fD6335C3F4ce8392D69350B4fA4E2,0xf73fd3d37c186ac36044ab6696e69f5f29a7486ab06a1b5a5c41c917ddb9bfc7,19136814,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x1aEcea38B8626EEB3748234343cff427268Dd487,31416050890727288270,,,,,0x1aEcea38B8626EEB3748234343cff427268Dd487,,,,,
Withdraw,0x0ee2faff2608fe4d65a92cef50bc9a25264c9bb3a71a8608d95c1ae36bf78534,0x87870Bca3F3fD6335C3F4ce8392D69350B4fA4E2,0xf61e416e4da547c000370e63cfe3c576e2b072a93da920cbf115543a9d4a95fa,19138664,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x1aEcea38B8626EEB3748234343cff427268Dd487,100000000000000000000000000,,,,,0x1aEcea38B8626EEB3748234343cff427268Dd487,,,,,
Withdraw,0x432dbcf7ff1bf7c6f8d84aeaad69609ee47b33b58b33cf5fe924908caa90c482,0x87870Bca3F3fD6335C3F4ce8392D69350B4fA4E2,0xf61e416e4da547c000370e63cfe3c576e2b072a93da920cbf115543a9d4a95fa,19138664,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x1aEcea38B8626EEB3748234343cff427268Dd487,137895495689898616083,,,,,0x1aEcea38B8626EEB3748234343cff427268Dd487,,,,,
Withdraw,0x432dbcf7ff1bf7c6f8d84aeaad69609ee47b33b58b33cf5fe924908caa90c482,0x87870Bca3F3fD6335C3F4ce8392D69350B4fA4E2,0xf61e416e4da547c000370e63cfe3c576e2b072a93da920cbf115543a9d4a95fa,19138664,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x1aEcea38B8626EEB3748234343cff427268Dd487,100000000000000000000000000,,,,,0x1aEcea38B8626EEB3748234343cff427268Dd487,,,,,
Withdraw,0x432dbcf7ff1bf7c6f8d84aeaad69609ee47b33b58b33cf5fe924908caa90c482,0x87870Bca3F3fD6335C3F4ce8392D69350B4fA4E2,0xf61e416e4da547c000370e63cfe3c576e2b072a93da920cbf115543a9d4a95fa,19138664,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x1aEcea38B8626EEB3748234343cff427268Dd487,7206706595180191595,,,,,0x1aEcea38B8626EEB3748234343cff427268Dd487,,,,,
Withdraw,0x5913a6b66052276c68ff7696104eb5298fc9c0396cc2ea67f35bae130dd27829,0x87870Bca3F3fD6335C3F4ce8392D69350B4fA4E2,0xf6e215de17770806302ab8c92f3ba599839ee0026c81822d05d7a942b4599222,19139196,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x1aEcea38B8626EEB3748234343cff427268Dd487,100000000000000000000000000,,,,,0x1aEcea38B8626EEB3748234343cff427268Dd487,,,,,
